page_url;category;file_name;link;magnet_link;size;date;seeders;leechers;completed_download
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;[Furretar] 中配 - 孤独摇滚! 剧场版 (Bocchi the Rock! Re + ReRe) (Movie 1-2) (Mandarin Chinese Dub) [國語][国语][中文配音][中配版] (孤獨搖滾!);/view/2005567;magnet:?xt=urn:btih:c70f37b95c1b8d5a7b6b79c51a62416563745f7e&dn=%5BFurretar%5D%20%E4%B8%AD%E9%85%8D%20-%20%E5%AD%A4%E7%8B%AC%E6%91%87%E6%BB%9A%21%20%E5%89%A7%E5%9C%BA%E7%89%88%20%28Bocchi%20the%20Rock%21%20Re%20%2B%20ReRe%29%20%28Movie%201-2%29%20%28Mandarin%20Chinese%20Dub%29%20%5B%E5%9C%8B%E8%AA%9E%5D%5B%E5%9B%BD%E8%AF%AD%5D%5B%E4%B8%AD%E6%96%87%E9%85%8D%E9%9F%B3%5D%5B%E4%B8%AD%E9%85%8D%E7%89%88%5D%20%28%E5%AD%A4%E7%8D%A8%E6%90%96%E6%BB%BE%21%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;2.2 GiB;2025-08-13 01:38;5;0;97
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;[CMEN][2024.01.30][BDMV] Bocchi the Rock!: The Complete Season;/view/1975238;magnet:?xt=urn:btih:9054042f744b599803b26fc280b29d03010470d4&dn=%5BCMEN%5D%5B2024.01.30%5D%5BBDMV%5D%20Bocchi%20the%20Rock%21%3A%20The%20Complete%20Season&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;67.6 GiB;2025-05-25 04:36;6;2;222
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;BOCCHI THE ROCK! Recap Part 2 - (BD Remux 1080p H.264 FLAC.DTS-HD MA.AC-3)-realpinkgirl321;/view/1954264;magnet:?xt=urn:btih:793b239f23b758ed49560ea9e64d438199f5b567&dn=BOCCHI%20THE%20ROCK%21%20Recap%20Part%202%20-%20%28BD%20Remux%201080p%20H.264%20FLAC.DTS-HD%20MA.AC-3%29-realpinkgirl321&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;20.8 GiB;2025-03-31 05:12;15;0;262
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;BOCCHI THE ROCK! Recap Part 1 - (BD Remux 1080p H.264 FLAC.DTS-HD MA.AC-3)-realpinkgirl321;/view/1953895;magnet:?xt=urn:btih:fb9ab32d4f0118e510790b0f0c8a5040495bb170&dn=BOCCHI%20THE%20ROCK%21%20Recap%20Part%201%20-%20%28BD%20Remux%201080p%20H.264%20FLAC.DTS-HD%20MA.AC-3%29-realpinkgirl321&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;24.7 GiB;2025-03-30 04:53;12;0;271
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;3BOCCHI THE ROCK! - S01 v2 - (BD Remux 1080p H.264 FLAC)-realpinkgirl321;/view/1949543#comments;magnet:?xt=urn:btih:21c5f67cdadf9a3287716ec572a0d5c528fd19ea&dn=BOCCHI%20THE%20ROCK%21%20-%20S01%20v2%20-%20%28BD%20Remux%201080p%20H.264%20FLAC%29-realpinkgirl321&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;63.3 GiB;2025-03-18 22:24;52;15;1052
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;[Erai-raws] Bocchi the Rock! - Recap Part 2 [1080p CR WEBRip HEVC EAC3][MultiSub][E2B2260E];/view/1935547;magnet:?xt=urn:btih:11fd4411b167102d22af7eaf030db88cbe0c7053&dn=%5BErai-raws%5D%20Bocchi%20the%20Rock%21%20-%20Recap%20Part%202%20%5B1080p%20CR%20WEBRip%20HEVC%20EAC3%5D%5BMultiSub%5D%5BE2B2260E%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;1.4 GiB;2025-02-14 13:38;41;0;2955
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;[Erai-raws] Bocchi the Rock! - Recap Part 1 [1080p CR WEBRip HEVC EAC3][MultiSub][3D4C4B0E];/view/1935545;magnet:?xt=urn:btih:510b70788f7869d655e52b664bf4ef60577d1cff&dn=%5BErai-raws%5D%20Bocchi%20the%20Rock%21%20-%20Recap%20Part%201%20%5B1080p%20CR%20WEBRip%20HEVC%20EAC3%5D%5BMultiSub%5D%5B3D4C4B0E%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;1.6 GiB;2025-02-14 13:36;43;0;3068
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;1Bocchi the Rock! Re Re (2024) 1080p WEB H.265 E-AC-3 -Tsundere-Raws (AMZN) (VOSTFR, Multi-Subs, Bocchi the Rock! Movie);/view/1935481#comments;magnet:?xt=urn:btih:b3f6fa9615b4f9ac422d84500db681590151509e&dn=Bocchi%20the%20Rock%21%20Re%20Re%20%282024%29%201080p%20WEB%20H.265%20E-AC-3%20-Tsundere-Raws%20%28AMZN%29%20%28VOSTFR%2C%20Multi-Subs%2C%20Bocchi%20the%20Rock%21%20Movie%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;955.1 MiB;2025-02-14 08:53;5;0;923
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;Bocchi the Rock! Re (2024) 1080p WEB H.265 E-AC-3 -Tsundere-Raws (AMZN) (VOSTFR, Multi-Subs, Bocchi the Rock! Movie);/view/1935480;magnet:?xt=urn:btih:03348ad949ae1b420eabec6dd78e72d9c511233a&dn=Bocchi%20the%20Rock%21%20Re%20%282024%29%201080p%20WEB%20H.265%20E-AC-3%20-Tsundere-Raws%20%28AMZN%29%20%28VOSTFR%2C%20Multi-Subs%2C%20Bocchi%20the%20Rock%21%20Movie%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;1.1 GiB;2025-02-14 08:49;8;0;987
https://nyaa.si/?f=0&c=1_2&q=bocchi+the+rock&p=1;Anime - English-translated;[Erai-raws] Bocchi the Rock! - Recap Part 2 [480p CR WEB-DL AVC EAC3][MultiSub][5927B90D];/view/1935466;magnet:?xt=urn:btih:0816ebb3c9ab25b986639fd186c475360979de9c&dn=%5BErai-raws%5D%20Bocchi%20the%20Rock%21%20-%20Recap%20Part%202%20%5B480p%20CR%20WEB-DL%20AVC%20EAC3%5D%5BMultiSub%5D%5B5927B90D%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;1.2 GiB;2025-02-14 07:00;1;0;253
