page_url;category;file_name;link;magnet_link;size;date;seeders;leechers;completed_download
https://nyaa.si;Audio - Lossless;[2025.09.24] 水曜日のカンパネラ - 可愛女子 [FLAC 48KHz/24bit];/view/2023453;magnet:?xt=urn:btih:68cabc951c2ea609cb17a902d956ebd0e084c9d5&dn=%5B2025.09.24%5D%20%E6%B0%B4%E6%9B%9C%E6%97%A5%E3%81%AE%E3%82%AB%E3%83%B3%E3%83%91%E3%83%8D%E3%83%A9%20-%20%E5%8F%AF%E6%84%9B%E5%A5%B3%E5%AD%90%20%5BFLAC%2048KHz%2F24bit%5D&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;422.5 MiB;2025-09-24 03:06;4;9;5
https://nyaa.si;Literature - English-translated;The Reincarnation of the Strongest Exorcist in Another World v01-07 (2024-2025) (Digital) (Ushi);/view/2023452;magnet:?xt=urn:btih:f7d21f5c2d23a14169a4158c8e65bf374701365f&dn=The%20Reincarnation%20of%20the%20Strongest%20Exorcist%20in%20Another%20World%20v01-07%20%282024-2025%29%20%28Digital%29%20%28Ushi%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;1.5 GiB;2025-09-24 03:02;23;25;26
https://nyaa.si;Literature - English-translated;The Brilliant Healer's New Life in the Shadows v03-04 (2025) (Digital) (Ushi);/view/2023451;magnet:?xt=urn:btih:936c0b40c36cd74ba061cf4c40dd1120c933c400&dn=The%20Brilliant%20Healer%27s%20New%20Life%20in%20the%20Shadows%20v03-04%20%282025%29%20%28Digital%29%20%28Ushi%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;544.5 MiB;2025-09-24 03:01;22;20;29
https://nyaa.si;Anime - Raw;[Doomdos] - 君有云 第二季 - 第21话 - [1080P].mp4;/view/2023450;magnet:?xt=urn:btih:bdb3c475ea3c29170db799dfdef2218a84b51c3e&dn=%5BDoomdos%5D%20-%20%E5%90%9B%E6%9C%89%E4%BA%91%20%E7%AC%AC%E4%BA%8C%E5%AD%A3%20-%20%E7%AC%AC21%E8%AF%9D%20-%20%5B1080P%5D.mp4&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;598.3 MiB;2025-09-24 03:01;1;5;2
https://nyaa.si;Literature - English-translated;My Fiancé Cheated, But a New Love Rings! v01-02 (2025) (Digital) (Ushi);/view/2023449;magnet:?xt=urn:btih:d9bbdd3eded532f7ddf38ac1e86db8cf900903d3&dn=My%20Fianc%C3%A9%20Cheated%2C%20But%20a%20New%20Love%20Rings%21%20v01-02%20%282025%29%20%28Digital%29%20%28Ushi%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;628.9 MiB;2025-09-24 03:00;25;22;32
https://nyaa.si;Literature - English-translated;I'm a Noble on the Brink of Ruin, So I Might as Well Try Mastering Magic v01-04 (2024-2025) (Digital) (Ushi);/view/2023448;magnet:?xt=urn:btih:6bf1fb1a75b78da9bab96e3819aae86bd82c5f23&dn=I%27m%20a%20Noble%20on%20the%20Brink%20of%20Ruin%2C%20So%20I%20Might%20as%20Well%20Try%20Mastering%20Magic%20v01-04%20%282024-2025%29%20%28Digital%29%20%28Ushi%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;999.7 MiB;2025-09-24 02:59;27;16;34
https://nyaa.si;Literature - English-translated;Even Exiled, She's Still the Beloved Saint! - St Evelyn's Weird and Wonderful Friends v01 (2025) (Digital) (Ushi);/view/2023447;magnet:?xt=urn:btih:d4bc709d24352817c6bc61643266359fa49af444&dn=Even%20Exiled%2C%20She%27s%20Still%20the%20Beloved%20Saint%21%20-%20St%20Evelyn%27s%20Weird%20and%20Wonderful%20Friends%20v01%20%282025%29%20%28Digital%29%20%28Ushi%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;268.9 MiB;2025-09-24 02:56;30;13;41
https://nyaa.si;Literature - English-translated;Der Werwolf - The Annals of Veight -Origins- v01-11 (2021-2025) (Digital) (Ushi);/view/2023446;magnet:?xt=urn:btih:55af1a77c13ddf4f389f2e245a9cf49da66de531&dn=Der%20Werwolf%20-%20The%20Annals%20of%20Veight%20-Origins-%20v01-11%20%282021-2025%29%20%28Digital%29%20%28Ushi%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;2.5 GiB;2025-09-24 02:56;24;19;36
https://nyaa.si;Literature - English-translated;Dance in the Vampire Bund - Age of Scarlet Order v15 (2025) (Digital) (Ushi);/view/2023445;magnet:?xt=urn:btih:8123b74f71d236ae0eedd5c9b040b998e194058d&dn=Dance%20in%20the%20Vampire%20Bund%20-%20Age%20of%20Scarlet%20Order%20v15%20%282025%29%20%28Digital%29%20%28Ushi%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;282.4 MiB;2025-09-24 03:04;25;15;30
https://nyaa.si;Literature - English-translated;Campfire Cooking in Another World with My Absurd Skill - Sui's Great Adventure v07-08 (2025) (Digital) (Ushi);/view/2023444;magnet:?xt=urn:btih:b1cb52a2fb4fbd9e72de02904a706323b6285045&dn=Campfire%20Cooking%20in%20Another%20World%20with%20My%20Absurd%20Skill%20-%20Sui%27s%20Great%20Adventure%20v07-08%20%282025%29%20%28Digital%29%20%28Ushi%29&tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.torrent.eu.org%3A451%2Fannounce;437.8 MiB;2025-09-24 02:53;34;10;53
